% Model,EMSI_model_V1_C_rate_1_T_ref_298_Permeability_1.9E-15_r_pos_7.mph
% Version,COMSOL 6.3.0.420
% Date,"Apr 11 2026, 18:16"
% Dimension,1
% Nodes,397
% Expressions,42
% Description,Line graph
% Arc length (µm),Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity
784.4954990249196,1.2050101422977613,1.3180347298998147,1.3162194633200097,1.3140669515094614,1.3118670757582576,1.3092745575037947,1.306350528859143,1.3031503745524915,1.2997011990689542,1.2955936090809372,1.2916344468367285,1.2875209214611776,1.28302243387562,1.2782470040476297,1.2731739040257637,1.2678349049043212,1.2622315845410645,1.256357312039766,1.2502452116233942,1.2438892327969113,1.2372809677408854,1.230452088163814,1.223482111947132,1.2162232610161476,1.2087480620276045,1.2011217267276466,1.1933649955985073,1.185483180052641,1.1773755557276873,1.1691976351878774,1.1609226548450025,1.1526345514314587,1.1441633973767793,1.135595076071999,1.126999694984295,1.1183967045402075,1.110102841812494,1.1014867494392222,1.0927870462112035,1.0841713969965,1.0755501041000843,1.0668639093887358
862.9450489274116,1.2050101422977613,1.3180093147658272,1.3162028382179476,1.3140690666211052,1.3118863214136667,1.3092958063350655,1.3063658107645595,1.3031613910261117,1.2997105590385236,1.2955879933342809,1.2916747065528227,1.2875666717036012,1.283067365570021,1.2782896507211627,1.273213256127698,1.2678714825223132,1.2622654566079357,1.256389217517085,1.250277560246046,1.2439194941114289,1.2373086869539627,1.2304796497563484,1.223518466352805,1.216254804727587,1.2087762593614326,1.2011485722441886,1.1934083681297478,1.185547401109986,1.177431416497758,1.169248896587666,1.1609712738610987,1.1526826693403815,1.1442119063116052,1.1356436094184206,1.127051859365829,1.1184501509214575,1.1101551645443886,1.1015742092543177,1.092862732682971,1.0842410002336231,1.0756659933375303,1.0669706154847172
941.3945988299034,1.2050101422977613,1.3179877642536402,1.3161889259376096,1.3140760439992547,1.311905170344714,1.3093153638733814,1.3063791870355808,1.3031711722936206,1.2997186943558687,1.2955926495738146,1.2917194273555366,1.2876130604988634,1.2831116576878092,1.2783314032790596,1.2732516720149278,1.2679072449274673,1.2622986609179774,1.2564206315654347,1.2503091842867688,1.2439493766019512,1.237336469159115,1.2305074913466423,1.2235530596914939,1.2162862433969774,1.208805280571039,1.201177092347962,1.1934517427820677,1.1856095658208932,1.1774874432211,1.1693017497063767,1.1610224744007782,1.1527341252077918,1.1442643721537438,1.1356968176511653,1.127109876558696,1.118509478720142,1.110206808401977,1.101660257946781,1.0929412201672466,1.0843154348675348,1.0757808743020676,1.0670806123985912
1019.8441487323953,1.205010142297761,1.3179700779389651,1.3161776983861386,1.3140876698197332,1.3119233940555297,1.3093330780751975,1.306390569471328,1.303179637981763,1.299725517303512,1.2956074017706822,1.2917681899720723,1.2876598289194265,1.2831551125709684,1.2783720778006382,1.273288980122281,1.267942025865913,1.262331038062212,1.256451402833253,1.2503399395004928,1.243978723806147,1.2373641729327982,1.2305354636401151,1.2235857874811837,1.2163174343988024,1.2088349723997378,1.201207137194467,1.193495011984435,1.1856694972818487,1.1775434243694687,1.169355993889407,1.1610760457638347,1.1527887106246437,1.144320568351868,1.1357544813561677,1.1271734309509038,1.1185744608593324,1.1102579797938945,1.1017448704676376,1.09302236176083,1.0843945471848335,1.0758947319287653,1.0671937191364207
1098.2936986348873,1.205010142297761,1.31795628788114,1.3161691509100297,1.314103813561148,1.3119407639443346,1.3093487829083026,1.3063998524422868,1.3031866995086328,1.299730929832475,1.2956322702109233,1.2918206488174864,1.2877067473997434,1.2831975461401222,1.2784114982310253,1.2733250147152848,1.267975665401963,1.2623624349523612,1.256481387199624,1.250369687159221,1.2440073843305999,1.237391670897675,1.230563431297291,1.2236165274501316,1.21634824282008,1.2088651954797334,1.2012385714045923,1.1935380776337736,1.18572698789044,1.177599143404194,1.1694114350197742,1.1611317913989603,1.1528462336305936,1.1443802813385369,1.13581639854827,1.1272422217701514,1.1186448990835725,1.1103088521314275,1.101827986669974,1.0931060107711017,1.084478209208481,1.076007506082478,1.0673097569196723
1176.7432485373793,1.2050101422977608,1.317946450897664,1.3161632319112986,1.3141246234465518,1.311956886719581,1.3093620593572468,1.3064066370241216,1.3031919978808602,1.2997345437984016,1.2956680466875077,1.2918765154616518,1.2877534187257458,1.2832385187562023,1.2784491920041845,1.273359284121852,1.2680076607592041,1.2623923397609773,1.2565100747552627,1.2503978985853776,1.2440347923339081,1.2374184682635787,1.2305908709294633,1.2236445851256585,1.2163780798803971,1.2088953457958531,1.201270791376117,1.1935803341746376,1.1857811158705267,1.1776537544840573,1.169467317189194,1.1611889533309698,1.1529059487320519,1.144442694405396,1.1358817711626994,1.1273153372414897,1.1187200339889045,1.1103587550076557,1.1019087455291232,1.0931913343173572,1.084565723918925,1.07611822257622,1.0674278033868947
1255.1927984398712,1.2050101422977608,1.317940203894239,1.3161595492015328,1.3141489547261178,1.3119708507078045,1.309372217553413,1.3064103948250405,1.3031949701193735,1.2997357495202482,1.295713118855422,1.2919339843557958,1.287798598530375,1.283276964163192,1.2784841315922781,1.2733907686372898,1.268036959135988,1.2624196936720817,1.2565363885876673,1.250423491043907,1.2440598334042627,1.2374433854937497,1.2306165833775877,1.2236689769030553,1.2164057358591873,1.2089241053799054,1.2013024316480045,1.1936204941418562,1.1858306346209335,1.1777058234036786,1.1695220616086375,1.1612458820764495,1.152966166524733,1.14450610185686,1.1359488424890984,1.1273907288135476,1.1187979982653107,1.1104071158621112,1.1019858625828816,1.0932765899687562,1.0846552508326355,1.0762256567821704,1.0675460659588196
1333.6423483423632,1.2050101422977608,1.3179379340033752,1.3161584336834753,1.3141771366250203,1.3119824040225556,1.3093792080852957,1.3064113197198264,1.3031959412680614,1.2997348517665912,1.2957693466230864,1.2919929234183947,1.2878424980314471,1.2833132113519947,1.2785167324029385,1.2734199064411322,1.2680640018211988,1.262445036667747,1.2565609008052163,1.2504470405832724,1.2440832655825946,1.2374671195140792,1.230641371264268,1.2236906405992172,1.2164322209551013,1.2089522774495216,1.2013344894496938,1.1936595335355273,1.1858764198744478,1.1777563723777522,1.1695762651227448,1.1613033111767077,1.1530275937964591,1.1445713494393683,1.1360183646956854,1.1274686314391817,1.118879565172107,1.1104555103892388,1.1020601078084618,1.0933622266558964,1.0847481377323662,1.0763311925162953,1.0676656163891007
1412.0918982448552,1.2050101422977613,1.3179395620015857,1.3161597338518172,1.3142078239453838,1.3119906084890758,1.3093823206215447,1.3064088828996059,1.3031943760206472,1.2997312586472731,1.2958339403052035,1.292051655833352,1.2878839124870645,1.283346211744888,1.2785459699395973,1.273445724691144,1.2680877976032288,1.262467355503665,1.2565825883428547,1.250467572287413,1.2441039277331738,1.2374885161652498,1.2306639395635577,1.223708425846584,1.216455992530105,1.2089784661308178,1.201365369912555,1.193695926731706,1.1859169300867067,1.1778036778254641,1.169628368973632,1.1613595311422806,1.153088551142532,1.1446367444467265,1.136088679914357,1.1275472853911754,1.118962874186124,1.110503340109758,1.1021297681987565,1.0934463915520949,1.0848416965963592,1.0764329660851666,1.0677841547602875
1490.5414481473472,1.205010142297761,1.317944418758179,1.316163170975796,1.314238990396577,1.31199575221184,1.3093822989674704,1.306403998897698,1.3031910029641516,1.2997258385270767,1.2959024378175545,1.2921088455110843,1.2879227733556904,1.2833764053713461,1.278572479182614,1.2734690185214812,1.268109252489715,1.2624876046999782,1.2566024438701244,1.2504862300841055,1.2441229537142302,1.2375087266770513,1.230685503747878,1.2237242355910487,1.2164785878581699,1.209004215405743,1.2013965098723884,1.1937315541533369,1.1859546891511614,1.177849774391786,1.1696802800516382,1.1614163733318605,1.1531508280653542,1.1447040650965552,1.1361616004295487,1.1276285944237234,1.119049773979101,1.1105543989496933,1.1021988834218752,1.0935321973004857,1.0849383925530796,1.0765349056454119,1.0679047488070834
