% Model,EMSI_model_V1_C_rate_1_T_ref_298_Permeability_1.9E-15_r_pos_7.mph
% Version,COMSOL 6.3.0.420
% Date,"Apr 11 2026, 17:17"
% Dimension,0
% Nodes,7410
% Expressions,9
% Description,"overpot_electrolyte, overpot_electrolyte_ohmic, overpot_electrolyte_concentration, overpot_ct, equilibrium_pot, overpot_rest, Cell potential, Number of cycles, Cell current"
% t,overpot_electrolyte (V),overpot_electrolyte_ohmic (V),overpot_electrolyte_concentration (V),overpot_ct (V),equilibrium_pot (V),overpot_rest (V),liion.cdc1.phis0 (V),liion.cdc1.cycle_counter,liion.cdc1.Icell (A)
2310,0.13267541939573166,0.05355313443672669,0.07912228495900497,0.05715323086298914,3.8431409000327568,0.05336615045878654,4.086335700750264,0,0.8479272327816019
2340,0.1330875886990443,0.05373613810932669,0.07935145058971761,0.05768822895268476,3.850953543877857,0.05361141793372309,4.095340779463309,0,0.8479272327816013
2370,0.13344791693685398,0.053895419082596735,0.07955249785425725,0.05828338156990924,3.8587119228153535,0.05393145501905744,4.104374676341174,0,0.8479272327816021
2400,0.13377047188105912,0.05404212561801492,0.0797283462630442,0.05872206494896934,3.8664575278556628,0.05453128091889123,4.1134813456045825,0,0.8479272327816018
2430,0.13399927154406027,0.05412913939041908,0.0798701321536412,0.05892335961571242,3.8743618543441873,0.0552500588836371,4.122534544387597,0,0.8479272327816016
2460,0.1341014005954974,0.05414621210158261,0.07995518849391481,0.058505078568419036,3.8824423978903897,0.05663887488874958,4.131687751943056,0,0.8479272327816008
2490,0.13403609259189703,0.05407583365699163,0.0799602589349054,0.05680678819378182,3.891039877777924,0.05891231942030889,4.1407950779839116,0,0.8479272327816016
2520,0.1340422536001184,0.0540751289916152,0.07996712460850319,0.05385869885940227,3.9005378487223727,0.06140941384933274,4.149848215031226,0,0.8479272327816012
2550,0.13451964971709734,0.05433619779481001,0.08018345192228733,0.05093461073165216,3.911275839478046,0.0620406245601936,4.158770724486989,0,0.8479272327816018
2580,0.13553614021974128,0.05484551480296612,0.08069062541677516,0.049389006684701905,3.923500810294113,0.05910744552965794,4.167533402728214,0,0.8479272327816019
2610,0.1369271504810535,0.05550766310596871,0.08141948737508478,0.04918031290671566,3.9354803372623097,0.05474574716952377,4.176333547819603,0,0.8479272327816016
2640,0.1382278131893269,0.05606151738364129,0.0821662958056856,0.04946323771513883,3.9449020366913348,0.05247505945008188,4.185068147045882,0,0.8479272327816016
2670,0.13943024807278034,0.05659579956823376,0.08283444850454658,0.04958882102911816,3.9524886434360726,0.05229297850964129,4.193800691047612,0,0.8479272327816015
2690.7211618120223,0.14028031254475073,0.05698905600686848,0.08329125653788225,0.049885005942006636,3.9576104982119262,0.052225134593143235,4.200000951291827,0,0.8479272327816022
2690.7211618120227,0.14028020090116197,0.05698894433910765,0.08329125656205433,0.04988488518957668,3.9576104984668654,0.05222503207368437,4.200000616631288,0,0.8479255369273333
2692.7411618120223,0.08220702209464016,0.0029978273101422355,0.07920919478449792,-0.00600346782139347,3.9576563860749165,2.0055575955453542E-4,4.034060496107718,0,-3.071625771658773E-12
2692.7411618120227,0.08220690576975893,0.0029977136501583724,0.07920919211960056,-0.006003598603260547,3.9576563860211644,2.0045121456001291E-4,4.034060144402223,0,-1.6958542685139091E-6
2700,1.1105823543619553E-4,-0.04481095662746042,0.04492201486289662,-0.05356618453867297,3.955405640021615,-0.060529771190712026,3.8414207425276663,0,-0.8479272327816018
2730,-0.06982114156638006,-0.04171154971577852,-0.028109591850601537,-0.04167931388788151,3.9478853848715927,-0.0783323620604286,3.7580525673569025,0,-0.8479272327816021
2760,-0.09069384695704355,-0.04003969532415868,-0.05065415163288487,-0.03947432770082101,3.9416845002204415,-0.08287641529631562,3.7286399102662613,0,-0.8479272327816025
2790,-0.09685514226888159,-0.039405368674499196,-0.05744977359438239,-0.03929266299989859,3.9357158141501776,-0.08473138792150853,3.714836620959889,0,-0.8479272327816012
2820,-0.09848364828420261,-0.03913999962818201,-0.059343648656020605,-0.03960517213220844,3.929904366111263,-0.08594987057350864,3.7058656751213435,0,-0.8479272327816015
