% Model,EMSI_model_V1_C_rate_1_T_ref_298_Permeability_6E-15_r_pos_7.mph
% Version,COMSOL 6.3.0.420
% Date,"Apr 11 2026, 16:24"
% Dimension,1
% Nodes,397
% Expressions,41
% Description,Line graph
% Arc length (µm),genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot
784.4954990249196,1000.0000000000016,1023.4212551025424,1048.323424689121,1073.3713674981595,1098.6058888470482,1124.0445540161795,1149.683442613583,1175.486972772599,1201.5047550895129,1227.6275507053178,1254.0411065656597,1280.6112826405827,1307.3451471649023,1334.1851008537633,1361.0897948943389,1388.0243347156957,1414.9353153649984,1441.835216998325,1468.4860020119822,1495.8190566674466,1523.2695907694688,1549.1468181364132,1575.1180782062047,1600.8754786300517,1626.4640114895462,1651.7672367009463,1676.8039473459448,1701.5352314527142,1725.8510623428883,1749.929328755087,1773.4158752670505,1796.5703763851418,1819.349349183347,1841.6786346884962,1863.7032586143457,1885.0556068447133,1906.4199184994277,1927.394656581193,1947.9689671592232,1968.1322724838335,1987.93088758641
862.9450489274116,1000.0000000000011,1023.4280531354535,1048.3404127584247,1073.3873937445387,1098.632396839644,1124.0724689916249,1149.7104876280453,1175.5101820819987,1201.52804731273,1227.6044908126057,1254.0344991812294,1280.6116472498056,1307.3532635502563,1334.1967699161344,1361.1015397624244,1388.0373176199143,1414.9465860010407,1441.841622683977,1468.486086377996,1495.9193325972428,1523.3341680137376,1549.165920573795,1575.0786175786302,1600.8052282444098,1626.373785656955,1651.6533839106926,1676.7102308290166,1701.4111930232596,1725.705484100037,1749.7664443906306,1773.2362294336115,1796.3763862536696,1819.138175317854,1841.440784177502,1863.4282039813504,1884.7380403776654,1906.0884174492521,1927.046660463477,1947.603386998309,1967.747598542694,1987.5341399712809
941.3945988299034,1000.0000000000016,1023.4373768288798,1048.3585892437413,1073.404458791238,1098.6581026551546,1124.099273602035,1149.7364298987877,1175.532742092093,1201.5504109113012,1227.585307343956,1254.0300175962993,1280.6130716015427,1307.3616275195868,1334.2078754803238,1361.112453767339,1388.0490996926042,1414.9562332897947,1441.8453425022094,1468.4834190867643,1496.000598038692,1523.3518641886278,1549.1594957080317,1575.0219707485512,1600.7248705831705,1626.2749435673215,1651.5325878872602,1676.6074236462673,1701.2757314026353,1725.549045096348,1749.5895444678918,1773.0443996920683,1796.1703123165826,1818.9144248682142,1841.1910322155813,1863.1383551449555,1884.416345898588,1905.7487095893555,1926.6878866477402,1947.2257320164904,1967.3504277010475,1987.1221024597673
1019.8441487323953,1000.0000000000019,1023.4490068235016,1048.377648829682,1073.4223171572828,1098.682764726245,1124.1247078203448,1149.7609802493237,1175.5543800024966,1201.5715669854126,1227.5698403101997,1254.027426189215,1280.6153319862437,1307.3699776785281,1334.2181642316707,1361.1222733682575,1388.059391694474,1414.963979485887,1441.8461395715524,1468.4777563980879,1496.0620434879554,1523.324451923824,1549.1279764795206,1574.9484281997973,1600.6344489695252,1626.1675675830709,1651.4049646073504,1676.4953546774204,1701.1291821493924,1725.3822055827707,1749.3994648789194,1772.8411288442783,1795.9530105775557,1818.6791870308605,1840.9306468746279,1862.8357362570766,1884.0920044347115,1905.4029330715935,1926.3209470178697,1946.838895742144,1966.943949376152,1986.6986689964135
1098.2936986348873,1000.0000000000015,1023.4627577127826,1048.3973041925206,1073.4407399977122,1098.706142933271,1124.148502200577,1149.7838338371912,1175.57480957591,1201.5912259110146,1227.557941629129,1254.0264818757184,1280.6181851700192,1307.3780314263552,1334.227336326094,1361.1307094356662,1388.0678665272126,1414.9695175109082,1441.8437219890477,1468.4688023196645,1496.1026087642438,1523.253206884977,1549.07145473526,1574.857984334129,1600.533773564277,1626.0515193435347,1651.2703967308996,1676.3735649834896,1700.9715183301646,1725.2049745095924,1749.1964771576174,1772.6265175312228,1795.7245551539845,1818.4326868310775,1840.659841338224,1862.5210872675227,1883.7650964854058,1905.05155487298,1925.9464426375148,1946.4434630466185,1966.52870306222,1986.2648202100283
1176.7432485373793,1000.0000000000018,1023.4775507871254,1048.4162862807843,1073.4584850454435,1098.726910310965,1124.1692347459793,1149.8034778726021,1175.5925050492642,1201.607809526677,1227.5483542969064,1254.0256583336077,1280.6200218632118,1307.3840977603827,1334.2336069721516,1361.1359315666423,1388.072592411843,1414.9709634768114,1441.8361096279268,1468.4545392203713,1496.11886895323,1523.1360574808796,1548.9873737252356,1574.7481212177734,1600.4204095504354,1625.924625313738,1651.1267884517395,1676.2396040098588,1700.8006997229577,1725.015325137425,1748.978777136233,1772.39866770518,1795.4829837575053,1818.1733674096558,1840.37685744877,1862.1930087520745,1883.4337401908174,1904.6931679308057,1925.5629270655963,1946.0378129020314,1966.1028024387192,1985.8191246915865
1255.1927984398712,1000.0000000000018,1023.4911676893067,1048.4321275972284,1073.4732049692277,1098.7427327703724,1124.1845380594523,1149.8174758617877,1175.6051244963433,1201.619011569316,1227.5389014077648,1254.0226845139139,1280.618629447685,1307.385852681597,1334.2346015592254,1361.1354414234136,1388.070989251385,1414.965600545246,1441.820734799385,1468.4322926827574,1496.1068490435807,1522.976176552034,1548.8750103215743,1574.617725203236,1600.2923129836342,1625.7847838441248,1650.9719046882444,1676.09049224218,1700.6149230894289,1724.811666356783,1748.74534366815,1772.1562367883193,1795.226949702828,1817.8998506005762,1840.0805399913688,1861.8514133034007,1883.0961542800283,1904.3267249334924,1925.1698266762796,1945.6214612058614,1965.665615858203,1985.3611722140374
1333.6423483423632,1000.0000000000018,1023.505771531057,1048.4465647088655,1073.4867829470284,1098.7553976303084,1124.1961573835924,1149.8275326209146,1175.6147229506114,1201.6271246747422,1227.5324614464382,1254.0203207918607,1280.6168208618626,1307.3860308938374,1334.2329058002454,1361.1317005675044,1388.065792214906,1414.9559582241955,1441.8001633586903,1468.4048686045705,1496.0666430134547,1522.7796712932702,1548.7380440703807,1574.4706570200963,1600.1533704766166,1625.6362289051244,1650.8107582373552,1675.9297464654328,1700.4192959310096,1724.600014010565,1748.5025341752,1771.9060916337237,1794.9631634922014,1817.6198335323763,1839.7793061887674,1861.5056054715515,1882.7608169452403,1903.9618229015457,1924.777798040395,1945.2056116555787,1965.2280249877333,1984.901085689951
1412.0918982448552,1000.0000000000011,1023.5200764917306,1048.4580236944655,1073.4978260191988,1098.7634629746512,1124.2029277746663,1149.83260335619,1175.6201547502606,1201.6308867624016,1227.5287289715277,1254.018039885831,1280.614328248632,1307.3843966432917,1334.228678003276,1361.124851316997,1388.056797842513,1414.9427569289796,1441.7760078551526,1468.3736905758792,1495.995217786973,1522.5515939676093,1548.5793395186527,1574.3114746654455,1600.0091167694402,1625.48612449217,1650.651400088927,1675.7664950037945,1700.226600533401,1724.395210873947,1748.268277391478,1771.6684141008102,1794.7148954163324,1817.3582317756905,1839.500605760448,1861.187077364651,1882.4610869199453,1903.6329661707139,1924.4222981762518,1944.8254692688722,1964.823958624704,1984.4692012741991
1490.5414481473472,1000.0000000000015,1023.5350877534305,1048.4679915439774,1073.507967330589,1098.7690307772402,1124.2068659667025,1149.8346988100134,1175.6235205197584,1201.6324139010262,1227.5282659573443,1254.016891457826,1280.612353935261,1307.3822440025492,1334.223317532493,1361.116387056285,1388.0454524321344,1414.926706026192,1441.7487382742063,1468.339016941905,1495.8986681859474,1522.3043552508877,1548.404334827735,1574.1424330189857,1599.8574940006172,1625.3297025600023,1650.486459274434,1675.5918581826256,1700.0253688561465,1724.1825519984607,1748.0256454415194,1771.4219497817676,1794.4570369922078,1817.0861909362839,1839.2118626161275,1860.8607655364356,1882.154804900313,1903.296267760373,1924.057526463433,1944.4344980070318,1964.4080581333153,1984.0248332822803
